timestamp,atm_id,hostname,os_version,cpu_usage_percent,memory_used_mb,memory_total_mb,memory_usage_percent,disk_read_bytes_per_sec,disk_write_bytes_per_sec,disk_free_gb,network_bytes_sent_per_sec,network_bytes_recv_per_sec,network_errors,process_count,system_uptime_seconds,event_log_errors_last_min,_anomaly
2026-03-24T08:00:00+00:00,ATM-GB-0001,host-atm-gb-0001,Windows-Server-2019,8.61,469,4096,11.45,2063.0,4779.7,83.08,7120.85,8612.57,0,101,37599,0,
2026-03-24T08:00:00+00:00,ATM-GB-0002,host-atm-gb-0002,Windows-Server-2019,31.73,548,4096,13.38,810.73,1471.48,169.36,1006.89,6443.82,0,89,44916,0,
2026-03-24T08:00:00+00:00,ATM-GB-0003,host-atm-gb-0003,Windows-Server-2019,15.89,1013,4096,24.73,1905.1,535.54,199.63,186.98,4946.95,0,101,13207,0,
2026-03-24T08:00:00+00:00,ATM-GB-0004,host-atm-gb-0004,Windows-Server-2019,12.63,1460,4096,35.64,1511.18,2474.09,75.19,7926.13,7928.44,0,93,50606,0,
2026-03-24T08:01:00+00:00,ATM-GB-0001,host-atm-gb-0001,Windows-Server-2019,16.75,1266,4096,30.91,2323.75,3868.91,107.75,6549.81,9401.24,0,82,86200,0,
2026-03-24T08:01:00+00:00,ATM-GB-0002,host-atm-gb-0002,Windows-Server-2019,23.51,498,4096,12.16,2727.12,2704.72,96.77,5425.92,1360.22,0,88,5381,0,
2026-03-24T08:01:00+00:00,ATM-GB-0003,host-atm-gb-0003,Windows-Server-2019,30.08,614,4096,14.99,485.82,864.08,42.38,9038.0,4943.79,0,93,17694,0,
2026-03-24T08:01:00+00:00,ATM-GB-0004,host-atm-gb-0004,Windows-Server-2019,33.03,680,4096,16.6,4882.74,4683.76,155.3,9895.08,3364.8,0,109,65178,0,
2026-03-24T08:02:00+00:00,ATM-GB-0001,host-atm-gb-0001,Windows-Server-2019,11.17,1376,4096,33.59,4315.1,4351.93,193.27,5238.67,130.81,0,87,46471,0,
2026-03-24T08:02:00+00:00,ATM-GB-0002,host-atm-gb-0002,Windows-Server-2019,39.15,489,4096,11.94,3522.4,2800.09,191.64,3093.19,9136.82,0,112,24963,0,
2026-03-24T08:02:00+00:00,ATM-GB-0003,host-atm-gb-0003,Windows-Server-2019,35.13,628,4096,15.33,2629.61,596.31,25.45,3893.16,907.8,0,89,53035,0,
2026-03-24T08:02:00+00:00,ATM-GB-0004,host-atm-gb-0004,Windows-Server-2019,5.96,1227,4096,29.96,4645.56,4301.22,180.34,8486.61,8776.16,0,82,24245,0,
2026-03-24T08:03:00+00:00,ATM-GB-0001,host-atm-gb-0001,Windows-Server-2019,15.12,1141,4096,27.86,2300.95,4042.76,71.26,5655.85,2860.61,0,99,52501,0,
2026-03-24T08:03:00+00:00,ATM-GB-0002,host-atm-gb-0002,Windows-Server-2019,26.52,421,4096,10.28,3014.3,4903.09,61.77,9209.04,9883.06,0,116,64724,0,
2026-03-24T08:03:00+00:00,ATM-GB-0003,host-atm-gb-0003,Windows-Server-2019,30.99,868,4096,21.19,3421.88,4282.9,84.05,5174.15,5070.66,0,99,84089,0,
2026-03-24T08:03:00+00:00,ATM-GB-0004,host-atm-gb-0004,Windows-Server-2019,21.71,1175,4096,28.69,2238.85,3888.51,74.08,2862.22,1099.87,0,111,47057,0,
2026-03-24T08:04:00+00:00,ATM-GB-0001,host-atm-gb-0001,Windows-Server-2019,5.42,1077,4096,26.29,3563.7,597.88,82.07,972.58,5659.1,0,102,70936,0,
2026-03-24T08:04:00+00:00,ATM-GB-0002,host-atm-gb-0002,Windows-Server-2019,31.34,1171,4096,28.59,3302.73,1324.69,80.38,7375.41,9275.29,0,80,22742,0,
2026-03-24T08:04:00+00:00,ATM-GB-0003,host-atm-gb-0003,Windows-Server-2019,17.32,1405,4096,34.3,347.03,3617.38,121.46,7428.71,6478.52,0,97,35761,0,
